Order26	POAexemptCode	Description
95237	Y36.A2XS	"High level blast overpressure in war operations, sequela"
95649	Y37.A1XA	"Low level blast overpressure in military operations, initial encounter"
95650	Y37.A1XD	"Low level blast overpressure in military operations, subsequent encounter"
95651	Y37.A1XS	"Low level blast overpressure in military operations, sequela"
95653	Y37.A2XA	"High level blast overpressure in military operations, initial encounter"
95654	Y37.A2XD	"High level blast overpressure in military operations, subsequent encounter"
95655	Y37.A2XS	"High level blast overpressure in military operations, sequela"
96321	Y93.L1	"Activity, splitting wood"
96322	Y93.L9	"Activity, other outdoor activity"
96556	Z15.05	Genetic susceptibility to malignant neoplasm of fallopian tube(s)
96558	Z15.060	Genetic susceptibility to colorectal cancer
96559	Z15.068	Genetic susceptibility to other malignant neoplasm of digestive system
96560	Z15.07	Genetic susceptibility to malignant neoplasm of urinary tract
96564	Z15.3	Genetic susceptibility to kidney disease
96917	Z40.81	Encounter for prophylactic surgery for removal of ovary(s) for persons without known genetic/familial risk factors
96918	Z40.82	Encounter for prophylactic surgery for removal of fallopian tube(s) for persons without known genetic/familial risk factors
96919	Z40.89	Encounter for other prophylactic surgery
97198	Z59.861	"Financial insecurity, difficulty paying for utilities"
97199	Z59.868	Other specified financial insecurity
97200	Z59.869	"Financial insecurity, unspecified"
97474	Z77.31	Contact with and (suspected) exposure to Gulf War theater
97475	Z77.39	Contact with and (suspected) exposure to other war theater
97531	Z80.44	Family history of malignant neoplasm of fallopian tube(s)
97594	Z84.11	Family history of APOL1-mediated kidney disease [AMKD]
97595	Z84.19	Family history of other disorders of kidney and ureter
97602	Z84.A	Family history of exposure to diethylstilbestrol
97647	Z85.4A	Personal history of malignant neoplasm of fallopian tube(s)
97695	Z86.00A	Personal history of in-situ neoplasm of the fallopian tube(s)
97921	Z91.0110	"Allergy to milk products, unspecified"
97922	Z91.0111	Allergy to milk products with tolerance to baked milk
97923	Z91.0112	Allergy to milk products with reactivity to baked milk
97925	Z91.0120	"Allergy to eggs, unspecified"
97926	Z91.0121	Allergy to eggs with tolerance to baked egg
97927	Z91.0122	Allergy to eggs with reactivity to baked egg
98002	Z91.B	Personal risk factor of exposure to diethylstilbestrol
